Id,Breed,State,Places,Longitude,Latitude,Population,Synonyms,Origin,Major utility,Comments on utility,Comments on breeding tract,Adaptability to environment,Management system,Mobility,Feeding of adults,Comments on Management,Colour,Horn shape and size,Visible characteristics,Height (avg. cm.),Body Length (avg. cm.),Heart girth (avg. cm.),Body weight (avg. kg.),Birth weight (avg. kg.),Litter size born,Age at first parturition (months),Parturition interval (months),Milk yield per lactation (kg),Milk Fat (%),Any Peculiarity of the breed
306,Gaolao,Madhya Pradesh,"Rajnandgaon,Durg,Seoni,Chhindwara,Balaghat,Nagpur,Wardha",78.33 - 79.15,20.18 - 20.21,"{""2006"": ""7381"", ""2013"": ""121538""}",Arvi  Gaulgani,It resembles Ongole very much except that it is much lighter and has greater agility. Nanda Gawali community has developed this breed.,Work - Transpot;  Food - Milk,This is a  fast trotting type breed suitable for quick transportation in hilly areas.,Source: Project Coordinator Report. 2008. Network Project on Animal Genetic Resources  NBAGR  Karnal.,,Semi-Intensive,Stationary,Grazing and Concentrate,Animals are grazed in grasslands preserved by the forest department. Grazing is usually available from middle of July to end of October. Sorghum is the principal crop of the area. Cows and young stock are usually under-nourished but bullocks and young male calves ready for sale are well fed. Bullocks are particularly trained to run fast.,,Horns are short and stumpy and curve slightly backward.,Head markedly long and narrow tapering towards muzzle. Forehead recedes at the top giving a slightly convex appearance. Eyes almond shaped and placed slightly at angles.,,"{""male"": 103.92, ""female"": 96.05}","{""male"": 158.83, ""female"": 142.27}","{""male"": 430.0, ""female"": 340.0}","{""male"": 22.4, ""female"": 18.23}",,54.74,14.15,604.0,4.32,
335,Ghumusari,Odisha,"Phulbani,Ganjam",84.16 - 85.18,19.10 - 20.28,"{""2008"": ""10000"", ""2013"": ""58855""}",Deshi,"Indigenous breed. Named after the local area ""Ghumusar"" of Ganjam and Phulbani districts of Orissa",Work-Draught; Food-Milk; Manure and fuel,Basically a draft breed,Western part of Ganjam district and adjoining areas of Phulbani district. Heavy concentration is in Bhanjanagar  Sorada and Aska area of Ganjam district,,Semi-Intensive,Stationary,Grazing and Fodder,These cattle are rarely fed any concentrate. Lactating cows and Working bullocks are fed with straw  rice bran and kitchen waste. Cows are milked only once in the morning,,Curved upward and inward. Some animals have straight horns. Male: 8.72±1.54  Female: 7.47±1.67cm,Small sized  strong and draft type animal. Small head with forehead being flat  broad and depressed in between the eyes,,"{""male"": 116.02, ""female"": 107.86}","{""male"": 136.14, ""female"": 126.27}","{""male"": 208.5, ""female"": 166.8}","{""male"": 14.82, ""female"": 13.83}",1.0,42.24,13.56,,,Draft abililty of Ghumusari bullocks is superior to that of other types of bullocks in the native tract
307,Gir,Gujarat,"Rajkot,Junagadh,Bhavnagar,Amreli",70. - 72.,20.5 - 22.6,"{""2000"": ""917081"", ""2013"": ""1380208""}",Bhodali  Desan  Gujarati  Kathiawari  Sorthi  and Surati,Named after the Gir forest  the geographical/origin of the breed,Food - Milk,Gir cows are good milk producers. Bullocks can drag heavy loads on all kinds of soils  be it sandy  black or rocky.,Saurashtra region of Gujarat specially area in and around Gir forest.,,Semi-Intensive,Stationary,Grazing and Concentrate,Gir cattle are largely bred by professional breeders known as Rabaris  Bhanoads  Maldharis  Ahirs and Charans. Calves are allowed to suck for 8 to 12 months. Milking cows are usually retained in the village while dry cows and young stock are sent for grazing. Animals are herded in a field for 3 or 4 nights by the farmers as it provides manure in the form of dung and urine.,,Horns are peculiarly curved. Starting at the base of the crown they take a sideways downward and backward curve and again incline a little upward and forward taking a spiral inward sweep  ending in a fine taper- thus giving a half moon appearance.,Long and pendulous ears folded like a leaf. Ears hang all the time and their inside face forward.,,"{""male"": 137.51, ""female"": 131.4}","{""male"": 201.41, ""female"": 166.47}","{""male"": 544.0, ""female"": 310.0}","{""male"": 0, ""female"": 0}",,46.08,13.4,2110.0,4.6,"Gir is a world-renowned breed known for its tolerance to stress conditions. Having faced scarcity for a numbers of years, it has the capacity for yielding more milk with less feeding and is resistant to various tropical diseases. It has been imported by Brazil, USA, Venezuela and Mexico, and bred there successfully."
308,Hallikar,Karnataka,"Tumkur,Mysore,Mandya,Kolar,Hassan,Chitradurga,Bangalore",75.5 - 78.15,12. - 14.31,"{""2013"": ""1211242""}",Mysore,The name of the breed  Hallikar  has been derived from the name of sub tribe Hallikar of Golla community mainly responsible for rearing of the breed.,Work - Draught,Best draught breed of Southern India.Most of the South Indian breeds  have originated from this breed.,The Hallikar breed of cattle is distributed in almost all the districts of south Karnataka and is also found in adjoining areas of Andhra Pradesh and Tamilnadu states.,,Semi-Intensive,Stationary,Fodder and Concentrate,Cattle are bred by professional breeders and cultivators. Few families maintain their own stud bull and also provide service to others for a nomial fee. Cows are generally milked  and are also used for all kind of farm operations. Bullocks are given special attention . Mostly fingermillet  grass  sorghum or pearlmillet are offered as  green fodder.,,Emerge near to each other from top of poll and are carried upward and backward  each in a staright line for nearly half their length and then with gentle and gracefull sweep bend forward and slightly inward ending up with pointed tips.,White markings or irregular patches round the eyes and cheeks  and neck or shoulder region are the distinctive features of this breed,,"{""male"": 138.94, ""female"": 130.17}","{""male"": 163.15, ""female"": 148.45}","{""male"": 340.0, ""female"": 227.0}","{""male"": 21.3, ""female"": 20.2}",,36.24,19.7,542.0,5.7,
309,Hariana,Haryana,"Jhajjar,Jind,Gurgaon,Sonepat,Rohtak,Hisar",75.45 - 76.50,28.30 - 30.,"{""2013"": ""1639181""}",Hansi,Hariana cattle take their name from the region known as Haryana in North India. There were two strains of cattle Hisar and Hansi found in this region and known after the name of their native towns. Hariana cattle seems to have originated from these two strains. Hisar and Hansi names do not exist now,Food - milk Work - Draught and Transport,Hariana is a prominent dual purpose breed of north India - widely spread in Indo Gangetic plains. It is primarily reared for bullock production . Cows are also fairly good milkers.,,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,Cattle are traditionally reared by grazing on common pasture land of the village and along the banks of cannals and roadsides with little supplementary feeding of crop residues  weeds and grasses. Calves are not weaned. Since Hariana cows are mainly reared for producing bullocks  greater attention is paid to rearing of male calves than of female calves. High yielding cows  bullocks and young males given green fodder and concentrate in addition to grazing . A.I. is the common method used to bred the animals. However  breeding bulls are also available in the village. Males are usually castrated at about 3 years of age.,,Horns are small in size.,White colour  long and narow face  well marked bony prominence at the centre of poll and small horns.,,"{""male"": 141.02, ""female"": 139.2}","{""male"": 173.96, ""female"": 169.8}","{""male"": 499.0, ""female"": 325.0}","{""male"": 23.3, ""female"": 21.7}",,51.3,15.88,997.0,4.5,
352,Himachali Pahari,Himachal Pradesh,"Lahul & Spiti,Sirmaur,Shimla,Mandi,Kullu,Kinnaur,Kangra,Chamba",75.47 - 79.40,30.22 - 34.34,"{""2019"": ""759000""}",Pahari  Desi  local  Gauri  Himdhenu,Native. Named as used in local parlance for being native to hills,Milk  draught  manure  urine,Moderate draught performance  Capability to work on narrow  sloppy  undulating   hill terrain,The ecology of habitat is sub-tropical/sub-humid/temperate/cold mountainous type. The climate is characterized by seasonal variations in temperature  humidity and sunshine. There are three distinct seasons round the year in Himachal Pradesh; winter (October to February)  summer (March to June) and rainy (July to September). A snowfall at the elevations of about 3000 m is about 3 m and lasts from December to March. Above 4500 mts  is almost perpetual snow.,,Extensive,Stationary,Grazing Fodder and Concentrate,Kept loose  rarely tied. Generally kept in small herds of 2-5 animal in lower ranges  while in higher ranges large cattle herds (8-10) are managed under extensive system. In lower mid hills  mixed system of stall feeding and grazing is prevalent with occasional concentrate feeding. In mid to high hills  cattle are left for grazing throughout the day in summers. In colder months  they are fed on stored grasses and cereals.,,Medium sized  mainly curved in lateral and upward direction. Size: Male- 16.1  Female- 12.9cm,Small to medium sized animal with compact cylindrical body  short legs  medium hump  horizontally placed ears and comparatively long tail.,,"{""male"": 140.3, ""female"": 112.0}","{""male"": 136.9, ""female"": 123.8}","{""male"": 227.0, ""female"": 186.0}","{""male"": 14.4, ""female"": 13.9}",1.0,49.8,17.9,538.0,4.68,
310,Kangayam,Tamilnadu,"Namakkal,Karur,Dindigul,Erode,Coimbatore",77.12 - 78.12,10.12 - 11.48,"{""1997"": ""479179"", ""2013"": ""80620""}",Kanganad  Kongu,This breed derives its name from its habitat - Kangayam taluk of Erode district -earlier part of Coimbatore district. This breed was developed by late Pattogar of Palayakottai. This breed resembles Umblachery breed.,Work - Draught and Transport,Bullocks have a good capacity for work and are used for all agricultural operations. Kangayam bullocks alone are used for sugarcane load hauling  though other draught breeds are available in the area.,Animals true to the type are available in Kangayam and Dharapuram taluks of Erode district  and Karur taluk of Karur district.,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,Kangayam cattle are traditionally reared on grazing in dry lands kept as pasture land by farmers for cattle and sheep in the breeding tract. The pasture land is divided into many paddocks by live fencing of a thorny shrub. A system of rotational and priority grazing is adopted. Velvaelam trees are also seen extensively in grazing areas. They provide shade to animals in rest during grazing. Calves are allowed to suck as much milk from their dams as they require up to 6 weeks. Later green grass is provided to the calves. However  weaning is never practised.,,Horn are long and strong  take backward  outward and upward sweep and then curving inward with tips tending to meet each other to form crescent shape.,Long horns nearly completing a circle  long hump and strong body.,,"{""male"": 144.3, ""female"": 130.7}","{""male"": 169.9, ""female"": 155.3}","{""male"": 540.0, ""female"": 380.0}","{""male"": 22.0, ""female"": 21.0}",,39.99,15.62,540.0,3.9,Bullocks of this breed are preferred for transportation of sugarcane than those of other breeds found in this region like Hallikar and Alambadi. Transporation capacity of these bullocks is the main source of livelihood of their owners in and around sugar mills in this region.
311,Kankrej,Gujarat,"Kutchchh,Sabar Kantha,Mahesana,Kheda,Banas Kantha,Ahmadabad,Jodhpur,Barmer",71. - 74.,21. - 24.,"{""2013"": ""1945094""}",Wadad or Waged  Vagadia  Talabda  Nagar  Bonnai.,It takes its name from the name of geographical area i.e. Kank taluka of Banaskantha district in Gujarat.,Work - Draught and Transport; Food - Milk,Agricultural operations and road transport in village area are mainly carried out by bullocks of this breed.,,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,The Rabaris  Maldharis  Bharwads  Ahir and Charans are the main communities associated with breeding of the Kankrej. Animals are not tied. They are kept in paddocks of throny bushes near human dwellings. Animals are taken out for grazing. They cover long distances during scarcity periods. Calves are not weaned . Male calves are cared better than female calves. Castor  rapeseed and sesamum are common among the oilseeds. Clusterbeen seeds are used as cattle feed. Cotton seed and oil cake are used as concentrate.,,Horn are strong and curved outward and upward in a lyre shaped fashion.They are curved with skin to a longer distance as compared to other breeds.,Heaviest breed of cattle. Strong lyre shaped horns  large pendulsus and open ears.,,"{""male"": 148.0, ""female"": 123.0}","{""male"": 194.0, ""female"": 163.0}","{""male"": 525.0, ""female"": 343.0}","{""male"": 0, ""female"": 0}",,47.3,15.06,1738.0,,"The gait of the Kankrej is peculiar  to the breed; the action is smooth, there is hardly any movement of the body, the head is held noticeably high, the stride is long and even and the hind hoof is placed well ahead of the impression of fore hoof. This gait is called 1Ľ paces (Swai chal) by the breeders."
312,Kenkatha,Madhya Pradesh,"Tikamgarh,Banda,Hamirpur,Lalitpur",78.5 - 81.6,24. - 26.,"{""2013"": ""393291""}",Kenwaria,The Kenkantha cattle take their name from the river Ken as they are bred along the banks of this river in the area of Bundelkhand.,Work - Draught,Very popular for light draught on road and for cultivation.,,,Extensive,Stationary,Grazing,Animals have to cover long distances in search of grazing pastures. Straws and husks from crops are utilised as cattle feed. Only few animals are maintained by each cultivator. Cows and young stock are maintained on grazing only. Pasture is scanty and generally consists of coarse grasses of cow nutritive value. Bullocks are usually fed good quality straws. All the animals of a village are takenfor grazing by villagers turn by turn.,,Emerge from the outer angles of the poll in markedly forward direction and terminate in sharp points.,Small  sturdy and fairly powerful animal. Horns directed forwards.,,"{""male"": 119.0, ""female"": 114.0}","{""male"": 178.0, ""female"": 168.0}","{""male"": 350.0, ""female"": 300.0}","{""male"": 19.2, ""female"": 18.9}",,,,,,They thrive on poor feed and fodder resouces.
337,Khariar,Odisha,"Nowpara,Kalahandi,Balangir",80.20 - 82.40,20. - 21.05,"{""2009"": ""50000"", ""2013"": ""290015""}",Deshi,"Indigenous breed named after the its native tract ""Khariar"" in Nuapada district of Orissa",Work-Draught; Food-Milk; Manure and fuel,Basically a draft breed,Nuapada district and adjoining area in Kalahandi and Balangir district. Heavy concentration is in Khariar  Komna  Sinapali and Boden blocks of Nuapada district,,Extensive,Stationary,Grazing,Cattle of entire village or hamlet are taken together for grazing by one or two persons during cropping season to avoid damage to crops. Animals often go on their own for grazing during post harvest period,,Straight. Quite often Upward and inward. Male: 12.34±0.21  Female: 10.12±0.27cm,Small sized  strong draft type animal. Hump  neck  and some region of face and back are dark in colour,,"{""male"": 114.02, ""female"": 106.16}","{""male"": 113.14, ""female"": 123.21}","{""male"": 195.6, ""female"": 156.2}","{""male"": 12.12, ""female"": 11.23}",1.0,50.09,16.84,,,
313,Kherigarh,Uttar Pradesh,Kheri,80.2 - 81.2,27.4 - 28.4,"{""2013"": ""75116""}",Kheri  Kharigarh  Khari,This breed has been named after the name of area.,Work - Draught,Bullocks are very good for draught purposes. They run very fast.,Some animals are also found in adjoining Pilibhit district.,,Extensive,Stationary,Grazing,The region has an abundance of coarse grasses and most of the animals are maintained on grazing only. No additional fodder or concentrate is provided. Housing is also not provided. They are tied in the open area. Males are castrated at about 42 months of age and used for work. Calves are reared mostly on milk. In some cases cow is not milked at all.,,Horns are upstanding  curving outward and upward. These are thick at the base. Horn formation is typical of lyre-horned Malvi type. Horns are medium in size(15 cm).,Small but active animal.,,"{""male"": 114.0, ""female"": 111.0}","{""male"": 163.0, ""female"": 149.0}","{""male"": 476.0, ""female"": 318.0}","{""male"": 20.7, ""female"": 19.9}",,,,,,Animals are resistant to diseases and the expenditure on treatment is almost nil.
314,Khillar,Karnataka,"Bagalkote,Gulbarga,Dharwad,Bijapur,Belgaum,Osmanabad,Kolhapur,Solapur,Sangli,Satara,Pune",74.42 - 76.15,16.45 - 17.22,"{""1997"": ""1144660"", ""2003"": ""1046489"", ""2013"": ""1102359""}",Mandeshi  Shikari  Thillar,Originated from Hallikar or Amritmahal breed of cattle. Khillari means herd of cattle and herdman is known as Khillari or Thillari. Four types of Khillari are prevalent in different parts. Atpadi Mahal in Southern Maharashtra  Mhaswad in Solapur and Satara area  Thillari in Satpura range of hills  and Nakali in adjoining area of this region.,Work - Draught,Bullocks are known for quick draught capability.,Source: Project Coordinator Report. 2008. Network Project on Animal Genetic Resources  NBAGR  Karnal.,,Semi-Intensive,Stationary,Grazing and Fodder,Usually male calf is allowed to suck all the milk  it can take until the dam goes dry. Cow is partially milked if it has a female calf. Males are castrated at about 5 to 5˝ years of age. Sorghum and bajara are extensively grown in the area. Grains are used for human consumption while stalks are fed to cattle. Maize and some varieties of sorghum are also grown as fodder crops.,,Long and pointed and follow the backward curve of the forehead. They are placed close together at the root with thick base  grow backward for half of the length and then turn upwards in a smooth bow shape peculiar to this breed ending in pointing tips.,Bow shape  long horns. A distinct groove in the centre of forehead from the nasal bridge to the centre of the poll. Sharp and prominnent nasal bridge.,,"{""male"": 144.28, ""female"": 132.28}","{""male"": 173.57, ""female"": 156.8}","{""male"": 271.0, ""female"": 219.0}","{""male"": 25.35, ""female"": 21.9}",,42.39,16.6,451.48,4.22,Bullocks are highly valued as fast powerfull draught animals. They can travel miles without showing any signs of fatigue. Cattle of this breed have been exported to North-Western Sri Lanka to improve the draught qualities of Sinhala breed.
